Station Name,Longitude,Latitude,Number of Exits,Opening Date,Opening Year-Month,SVY21_X,SVY21_Y
ADMIRALTY MRT STATION,103.80085749444697,1.4404069329400089,4,10 February 1996,1996-02,24387.582676039914,46898.42342218481
ALJUNIED MRT STATION,103.88248476911996,1.3163632078243936,2,4 November 1989,1989-11,33471.72114998009,33182.32674989956
ANG MO KIO MRT STATION,103.84967573689514,1.3696182336423717,4,7 November 1987,1987-11,29820.353800635276,39070.947448758685
BAKAU LRT STATION,103.90546387737824,1.388013092354575,2,18 January 2003,2003-01,36028.839299923085,41105.07365000436
BANGKIT LRT STATION,103.77259057420869,1.3798533467645455,1,6 November 1999,1999-11,21241.735400034777,40202.774300005745
BARTLEY MRT STATION,103.87958229359455,1.3428749053727125,2,17 April 2010,2010-04,33148.64873090652,36113.84914010397
BAYFRONT MRT STATION,103.85920456548351,1.282089309786341,5,14 January 2012,2012-01,30880.89831864664,29392.4563732853
BAYSHORE MRT STATION,103.94158330608437,1.312814733378945,5,23 June 2024,2024-06,40048.83912898703,32790.16152167597
BEAUTY WORLD MRT STATION,103.77573217376438,1.3410867460890723,3,27 December 2015,2015-12,21591.25379921045,35916.150365233705
BEDOK MRT STATION,103.92941150425963,1.3239705415943168,3,4 November 1989,1989-11,38694.18386943481,34023.65989868928
BEDOK NORTH MRT STATION,103.91833155089277,1.3346404443228046,3,17 November 2017,2017-11,37461.054029481194,35203.43932594097
BEDOK RESERVOIR MRT STATION,103.93318700618062,1.3364513321142049,2,21 October 2017,2017-10,39114.30415129789,35403.7404477872
BENCOOLEN MRT STATION,103.84989185539355,1.298364571380096,3,21 October 2017,2017-10,29844.458185011918,31192.082289203427
BENDEMEER MRT STATION,103.86314661868386,1.3136666153239247,2,21 October 2017,2017-10,31319.575449452892,32884.11729978384
BISHAN MRT STATION,103.8486921069671,1.3508634014459961,5,7 November 1987,1987-11,29710.900883624905,36997.132926744154
BOON KENG MRT STATION,103.86137095529172,1.3190856294870317,3,20 June 2003,2003-06,31121.954348311257,33483.32182704075
BOON LAY MRT STATION,103.70571801969106,1.3384759405295732,6,6 July 1990,1990-07,13799.408667256519,35627.754881496694
BOTANIC GARDENS MRT STATION,103.81544552576293,1.3226096226428752,2,8 October 2011,2011-10,26010.90730166387,33872.97649501279
BRADDELL MRT STATION,103.84675895618109,1.340828491675716,3,7 November 1987,1987-11,29495.76903096847,35887.52259467047
BRAS BASAH MRT STATION,103.8505264190178,1.2970013009425738,5,17 April 2010,2010-04,29915.080497222683,31041.3393359686
BRIGHT HILL MRT STATION,103.8328688965173,1.363166926474025,4,13 November 2022,2022-11,27949.955664141427,38357.58856276949
BUANGKOK MRT STATION,103.8931734944837,1.383029756905052,2,15 January 2006,2006-01,34661.091894966165,40554.00324819956
BUGIS MRT STATION,103.85620926697864,1.3002680194792327,4,4 November 1989,1989-11,30547.528015626554,31402.5612701599
BUKIT BATOK MRT STATION,103.74969897623916,1.3492190249395528,4,10 March 1990,1990-03,18694.068582012405,36815.46072259174
BUKIT GOMBAK MRT STATION,103.75196174761149,1.3590319850204207,4,10 March 1990,1990-03,18945.926449422528,37900.52032442331
BUKIT PANJANG LRT STATION,103.76305411282627,1.3779589156795355,4,6 November 1999,1999-11,20180.44027521591,39993.32679904659
BUKIT PANJANG MRT STATION,103.76048417426489,1.379682005659145,2,27 December 2015,2015-12,19894.443805838997,40183.866078783714
BUONA VISTA MRT STATION,103.79065881256486,1.306929434516004,4,12 March 1988,1988-03,23252.363172188197,32139.175049063793
CALDECOTT MRT STATION,103.84003535137836,1.3374869862318381,4,8 October 2011,2011-10,28747.505333756242,35518.03294561779
CANBERRA MRT STATION,103.82971217750564,1.443227401411478,5,2 November 2019,2019-11,27598.663797502468,47210.27123775391
CASHEW MRT STATION,103.76423448071098,1.3698333185962925,1,27 December 2015,2015-12,20311.77460003499,39094.83509999016
CHANGI AIRPORT MRT STATION,103.98829061110587,1.356780838532488,2,8 February 2002,2002-02,45246.624528171014,37651.99967979755
CHENG LIM LRT STATION,103.8938026029252,1.396280094679355,2,18 January 2003,2003-01,34731.06619951341,42019.1609997216
