school_name,address,postal_code,mainlevel_code,type_code,zone_code,X,Y,Longitude,Latitude,year_in_location
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,PRIMARY,GOVERNMENT SCHOOL,NORTH,24296.6250855923,47144.7700594738,103.800040119743,1.4426347903311,1997
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT   ,737916,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,24559.0472937012,47504.7873554379,103.802398196596,1.44589068910993,2002
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,PRIMARY,GOVERNMENT SCHOOL,NORTH,27958.1371433474,46096.2627680488,103.832942401086,1.43315271543517,1995
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7   ,768928,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,27599.3872889336,46417.7087551262,103.829718690077,1.43605975368804,1985
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,27966.8088298785,38071.9191181567,103.833020333986,1.3605834338904,1912
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,PRIMARY,GOVERNMENT SCHOOL,SOUTH,27010.1854815315,30414.7169698272,103.824424680531,1.29133439161334,2014
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,PRIMARY,GOVERNMENT SCHOOL,NORTH,33992.4459471293,41365.6329499111,103.887165375933,1.39036998654612,2008
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,PRIMARY,GOVERNMENT SCHOOL,NORTH,28900.6627847943,40683.2561488524,103.841411716006,1.38419941907925,2000
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53   ,569206,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,30029.3897069497,39593.0597646087,103.851554107068,1.37434001701177,1960
ANDERSON SERANGOON JUNIOR COLLEGE,1033 Upper Serangoon Road   ,534768,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,33978.4238496525,38565.1483832393,103.887038809373,1.36504342002442,1984
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,PRIMARY,GOVERNMENT SCHOOL,SOUTH,28702.4804675551,39038.1602696702,103.839630858752,1.36932176584608,1978
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22   ,569362,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,28983.3847605418,38818.7070966065,103.842154973672,1.36733710171069,1979
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD   ,487012,SECONDARY (S1-S4),GOVERNMENT-AIDED SCH,EAST,39993.0203263573,34754.6941457652,103.941082513081,1.33058126205128,1960
